CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,CF01,CF02,CF04,UQ01,UQ02,UQ03,UQ04,D002_01,D002_02,D002_03,D002_04,D002_05,D002_06,D002_07,D002_08,D002_09,D003,D003_05,D004_99,D005_01,PR01_RV1,PR01_RV2,PR01_RV3,AU01_01,AU01_02,AU02_01,AU03_01,AU04_01,AU05,AU05_01,AU05_02,AU05_03,AU05_04,AU05_05,AU05_05a,AU06_01,AU18_01,AU19_01,AU20_01,AU07_01,AU08_01,AU09,AU09_01,AU09_02,AU09_03,AU09_04,AU09_05,AU09_06,AU10,AU10_01,AU10_02,AU10_03,AU10_04,AU10_05,AU10_06,AU11,AU13,AU14_01,AU14_02,AU16_01,AU16_02,AU16_03,AU16_04,AU16_05,AU16_06,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
146,,,base,interview,06/09/2021 16:50,,,1,1,1,1,1,1,3,4,3,4,5,1,5,3,1,,22,Slovenia,612686098d9b18716217ef8e,61361b3f24903104f34b1853,61362abfe6b4a34631f1e289,5,5,I believe this is the easiest and safest way of authentication,10 seconds,The size of an iphone,1,1,1,2,1,1,,I feel like there are many environments requiring authentication ,"I want to access the data i need, as fast as possible",I feel that anything bigger would be impractical ,I want it close to me at all times,4,In my bag,3,2,2,2,1,1,1,3,1,2,1,2,2,1,4,1,"In the shape of a small animal, like a dog, cat, bunny etc.","Light colours, for example light blue or green. No bright neon colours.","Touch, arrangement and configuration ",1,Touch,Touch specific parts of the animal's body to authenticate ,"Easy to use, safe, small, practical, personalized to me",No,156,66,61,462,81,741,130,2,1699,,06/09/2021 17:19,1,0,8,8,0,0,0.89,9
147,,,base,interview,06/09/2021 16:50,,,1,1,1,1,2,5,6,4,6,6,2,5,6,6,2,,27,South Africa ,6128dafa26c54e19beb4a427,61361b3f24903104f34b1853,61362ac4133f0bef86936a5f,5,4,I trust the authentications,4 seconds ,10MB,1,1,1,2,1,1,,They work anywhere ,It is quick ,They desire some space,They work everywhere ,5,Anywhere ,4,2,2,1,2,2,1,5,2,2,2,2,2,1,4,1,Cars,Red,3,3,"Assembly, Touch and arrangement ",Touch,"Be secure
Safe
Reliable 
Fast
Unique ",No ,19,60,38,261,95,439,73,10,995,,06/09/2021 17:07,1,0,8,8,0,0,1.08,11
148,,,base,interview,06/09/2021 16:51,,,1,1,2,1,2,2,6,4,4,5,2,5,2,6,1,,24,Portugal,6122c5682f4d660d61f6532f,61361b3f24903104f34b1853,61362ad604528ef90b95fad5,4,4,If it could bring more security and privacy,3,10cm or the die a,1,1,1,2,1,1,,I would like to use it on the street,I want it to be quick and fast to authenticate.,I would like to keep it in my pocket.,I would like to take it with me and to keep it safe,2,"In my backpack, on my safe pocket",2,1,1,1,2,2,1,2,1,1,1,2,2,1,4,1,Like those wallets that are made of aluminium or an SSD size.,Grey or black.,One. And the touch interaction.,"Two at most, because of my memory and I want it to be quick.","Touch a pattern for instance, a random touch everytime.",Just a small rectangular object with touch inputs and fingerprint sensor.,"Safety Pin. 
Fingerprint sensor.
No NFC, Bluetooth or Wi-Fi.
Safety lockout.
GPS Sensor.",No other than nice study! It would be really nice to see something physical coming out of this!,7,16,24,337,36,347,54,2,823,,06/09/2021 17:04,1,0,8,8,0,0,2,63
149,,,base,interview,06/09/2021 16:51,,,1,1,1,1,1,,,,,,,,,,,,,,6128cd2cbc9191ba8815f595,61361b3f24903104f34b1853,61362aab736f0f007db77ff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,625,,,,,,55,,06/09/2021 17:01,0,0,3,3,0,0,2.02,223
150,,,base,interview,06/09/2021 16:51,,,1,1,1,1,1,1,1,2,2,2,3,5,5,2,1,,27,South Africa ,612fed5ae43d75ba001db65b,61361b3f24903104f34b1853,61362ac9ec0753925921eb96,5,5,I'd like to feel secure and know that it would be very hard for somebody else to acces personal information that may be stored in my device,10,Tennis ball,1,1,1,2,1,1,,"Privacy and security may also be needed to enter certain areas, not just for a device",If authentification takes too long I would get too impatient. ,It shouldn't be too big so as to inconvenience me. ,Vehicles are probably the next best place someone spends their time in when moving from place to place ,4,In a vehicle ,1,1,1,1,1,2,1,3,2,2,1,2,1,1,4,1,Cube,Black,4,1,"Touch
",I would like to press certain buttons on an object. But there needs to be more than 4 buttons to press for better security,"Easy to remember 
Not easy for someone else to hack 
Small authentication object
Must not take long to authenticate
Easy to carry around without creating curiosity 
",No,138,58,96,356,224,729,78,5,1528,,06/09/2021 17:19,1,0,8,8,0,0,0.69,1
151,,,base,interview,06/09/2021 16:51,,,1,,,,,,,,,,,,,,,,,,613486b8a92cbf1cbcf25c79,61361b3f24903104f34b1853,61362ae953e168ceec7e3c50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,47,,,,,,,76,,06/09/2021 16:52,0,0,2,2,0,0,1.08,5
152,,,base,interview,06/09/2021 16:51,,,1,1,1,1,1,5,5,2,5,5,3,4,3,5,2,,26,France,61350585d32e93a861003754,61361b3f24903104f34b1853,61362aeff915223c13efb9b6,5,5,I find this to be a fascinating way to provide an extra layer of security.,Three to four seconds or less would be ideal.,The maximum size should be around the size of a thumb drive.,1,1,1,2,1,1,,There is no reason I would only use it indoors or only use it outdoors if I had such a device.,"If authentication using the object takes too long, the inconvenience may outweigh the benefit of using it.","If the authentication is any larger, the inconvenience would outweight the benefit of carrying it around. It should be easy to concel and carry.",These would be the most convenient options.,5,"It should be kept in a pocket or wallet, and or it could kept on a necklace chain.",5,2,2,2,2,2,1,1,1,2,1,1,1,1,4,1,"A generic form like a cube or pyramid would be great. If they could be flat, such as the shape and size of a credit card, that would also be nice as it would be very easy to store.","Any color would work fine, but I think neutral colors like black or gray would be ideal if there were limitations.",I would be willing to perform any of the above interactions for the authentication object.,One or two interactions at most. ,"Configuration, arrangement, assembly, or touch.","If it was a cube with moving parts, like a puzzle cube, the moving parts could be arranged in a very very unique manner.","1) Convenience
2) Enough variation to ensure security (e.g. there shouldn't be only three or four configurations possible and therefore easy to crack)
3) Ability to shut off or maybe locate if lost or stolen
4) Authentication process should not take very long
5) Authentication should provide the choice to be combined with other authentication methods (password, PIN, etc.)",This is actually a really remarkable idea!,6,29,24,179,42,346,59,2,687,,06/09/2021 17:02,1,0,8,8,0,0,1.93,64
153,,,base,interview,06/09/2021 16:51,,,1,1,1,1,2,2,1,1,1,1,6,1,6,1,1,,39,UK ,5ebfbebb631bb53ab214c868,61361b3f24903104f34b1853,61362adb2482c56c326115ba,2,2,"What if I lose it, or cant find it in my bag etc...?",10 seconds maximum ,5cm,1,1,1,1,1,2,I wouldn't use one if I had the choice. ,wouldn't use one if I had the choice,I dont like waiting ,You dont want it too big or too small,You want it to be visible to you,3,Small pouch or bag maybe,1,1,1,1,1,1,2,1,1,1,1,1,1,2,4,1,Sphere,Bronze maybe? Make it look fancy.,"None, the idea stresses me out just looking at it!",None,None,I would not do any,N/A,"It seems really gimmicky, it's just asking to be lost or stolen. ",59,48,30,242,40,261,59,7,746,,06/09/2021 17:04,1,0,8,8,0,0,1.29,19
154,,,base,interview,06/09/2021 16:51,,,1,1,1,1,2,4,5,3,5,5,2,3,2,5,1,,23,belgium,6117919545897eabeab59aea,61361b3f24903104f34b1853,61362aed7b21cdd7fa511833,4,4,"i have the same password for everything, i feel like this would be a safer choice for somone who forgets different passwords",1 to 3 sec,as big as a house key ,1,1,1,2,1,1,,"if it is on my keys, ill take it anywhere",it should be as fast as typing your passcode,so you can hang it on your keys and not lose it,its the two objects i use the most,5,on keys or maybe on a phone case,2,1,1,1,2,2,1,2,2,2,1,1,1,1,4,1,"if I could build it myself; I would love it to be in the form of a cat keychain, or something that I could pop into my phone case, in the case of the keychain it would be 3d and round and in the case of the phone case it would be flat.","anything, preferably light purple","only the first one, the others would take too much time",only touch,touch,"i would like it to be something like an nfc chip, so just touch it on my phone and it would read the code and just fill in the password for me","being accessible to elderly
not expensive
",no ,83,30,22,188,40,374,59,2,798,,06/09/2021 17:05,1,0,8,8,0,0,1.6,34
155,,,base,interview,06/09/2021 16:51,,,1,1,1,1,2,6,5,2,6,4,1,6,2,5,1,,21,South Africa ,612fd7d15a53a91d71e7552f,61361b3f24903104f34b1853,61362af24c262786b1ddde16,4,5,I would consider using an authentication object as a main forum of authentication because I wouldn't have to worry about someone hacking or opening my private accounts without my permission. Therefore I would have a peace of mind knowing that it's impossible for anybody to know it aside from myself. ,60 seconds ,3 centimeters ,1,1,1,2,1,1,,I want to be able to access it wherever I am. ,"60 seconds is not long no short time to verify if it's really me accessing, therefore it is a good amount of time to verify the user. ","I would be able to carry it with me wherever I go, not having to worry about whether it's going to fit in my pocket or purse. ","Having it on my wrist watch means I won't lose it easily nore will it fall off. Bags and pockets are not as safe anymore, it could easily fall off your pocket or get lost with your bag. ",2,"I think it would be best if it would be magnatic that way I can easily attach it on my wrist watch, that way I won't lose it. ",3,2,2,2,1,1,1,2,1,1,1,2,2,1,4,1,A round shape ,Black ,Two,Two,Arrangement and configuration ,"Place my finger onto the side of my device to scan my fingerprint , once my fingerprint is approved then proceed to rotate the top half, 13 times to the left and twice to the right. ","1.reliable
2.safe
3.quick processing 
4.fast response
5.edurate ","I think most importantly what we want from an authentication object to assure us safety of know that only you can access it, so it must be very accurate. ",56,102,60,1453,113,1453,116,7,1414,,06/09/2021 17:47,1,0,8,8,0,0,0.54,0
156,,,base,interview,06/09/2021 16:51,,,1,2,1,1,1,5,6,5,4,5,5,5,5,5,1,,22,South africa,61335bbc9bc8a78e3bd79e75,61361b3f24903104f34b1853,61362b069a69a3257d15a203,4,3,Pin,10 seconds,unsure,1,2,1,1,1,1,,Indoors it safe,I'm good at authentication,unsure,So it will be safe,2,Public transport,1,1,1,1,2,1,1,2,1,1,2,2,1,1,4,1,Cube,White,yes,3,"Pin
Pattern
Fingerprint scanner",i will scan with my finger,i dont know,no,30,27,52,229,54,223,82,4,701,,06/09/2021 17:03,1,0,8,8,0,0,1.41,23
157,,,base,interview,06/09/2021 16:52,,,1,1,1,1,2,4,5,3,4,5,3,4,4,5,3,,29,France,5c9e8e365a47af0011344e3b,61361b3f24903104f34b1853,61362b08df587f77fd42303b,4,4,"I use keys for my house and cards for my workplace, adding another kind of small object for ID'ing purposes seems way less intrusive than face recognition software.",8,"If flat, around credit card sized. If not flat, 2cmx2cmx10cm is the absolute maximum I would consider.",1,1,1,2,1,1,,"I use my phone everywhere. Although much like inputting passwords, I would hide away my interactions with the object from other people's line of sight.",That's how long it is to type in my current password,"If flat, it has to fit comfortably in wallets and/or pockets. If the object is not flat, that volume is around the amount of real estate I have left in a pocket.",I would treat it with the same caution but utility as a credit card or a smartphone.,5,Front pocket of jeans; trapped against the skin by the elastic band of underwear if pants don't have appropriate pockets; inner zipped up pocket in a bag,4,2,2,1,2,2,1,2,1,2,2,1,1,1,4,1,"I would like the object to be almost identical to a USB key, a simple slightly flat brick shape. Ideally, you wouldn't be able to tell it's not a USB stick, so it would not seem out of place on a ring with one or two keys. And I would like the object to be sturdy for transporting in pockets.","Dark grey, black, blue, maybe with teal detailing cause I do like the color teal.",2 different kinds as a maximum.,"One action, but may involve several movements","I would like to use Touch, Configuration, or Arrangement interactions.","I would like the object to have five buttons, a sliding mechanism like a USB key, and an end that twists, and I would like to be able to choose any kind of combination of those interactions for my ""password"" for using the object.","1. Consistency of the interaction (if the item needs to slide, it doesn't get stuck, nor is it hard to stop; if the item needs to be touched, i can expect it to work without having to fiddle with how much pressure I'm applying),
2. sensitivity to input (i don't want to really have to press really hard on something that goes on my phone, nor do I want the object to register being in my pocket as touch),
3. clarity of feedback (if I have to slide stuff around, I would like a soft click to tell me when I am going through the positions, similarly to how I would like some physical resistance to buttons so I know that I am pressing down correctly); 
4. responsiveness under different weather conditions (I would like to be able to use the object if it's drizzling, or if I am wearing gloves)
5. discretion (having to take out a syringue and fill an object with water means that the object if completely useless on the bus, or literally anywhere that is not a lab)",The idea of someone having to take out a syringue to fill a small object with water in order to have access to their email is so bonkers that I am still giggling about it.,40,30,20,455,41,1021,47,2,1656,,06/09/2021 17:19,1,0,8,8,0,0,1.44,26
158,,,base,interview,06/09/2021 16:52,,,1,1,1,1,1,2,5,5,5,4,2,6,2,6,2,,21,Portugal,6134b9b38cb3bdbdbb129503,61361b3f24903104f34b1853,61362b1b45d90042df04c9a1,2,2,I'm afraid i lose the object,5,It must not occupy more than half pocket,1,2,1,1,1,1,,If i take it outside there's the chance i might lose it,It has to be Simple and fast,I must carry it everywhere like my phone,So I dont have to carry a special bag,2,Pocket,1,1,1,1,1,1,2,1,2,1,1,1,1,1,4,1,Horse,Silver,3,2,Configuration and touch ,Tap the horse in the head and flip him,"Robust, pretty, small, pretty, safe",No,6,79,48,354,45,359,47,2,940,,06/09/2021 17:08,1,0,8,8,0,0,1.57,50
159,,,base,interview,06/09/2021 16:52,,,1,,,,,,,,,,,,,,,,,,613310cbffa168178d65818b,61361b3f24903104f34b1853,61362b1e56f81cba3e32f9ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,,,,,,,19,,06/09/2021 16:52,0,0,2,2,0,0,3,169
160,,,base,interview,06/09/2021 16:52,,,1,1,2,1,1,4,4,3,4,5,2,4,4,5,2,,21,Portugal,61360600b6f85e39ac097d3d,61361b3f24903104f34b1853,61362b31824f46bb11bf7658,4,3,an authentication object would turn my devices more secure but by other hand with would be a slower solution to unblock something thats why i choose likely and unsure,30 seconds at most,small objects with less then 10 cm,1,1,1,2,1,1,,to simply unlock my smartphone for example,"authenticating should be a fast process depending on what you are doing, but for day to day usage should be the faster they can be",they need to be small to be portable and accessible,this would be much more practical ,5,should be attached to your daily eletronic devices ,2,2,1,2,1,1,1,2,1,1,1,2,2,1,4,1,i would like a geometrical form maybe with a round shape for even a cube ,maybe a bright color for darker situations ,the process needs to be fast so maybe 1 maximum 2 interactions.,the process needs to be fast so maybe 1 maximum 2 interactions.,Touch and configuration ,first a mechanism to recognize my touching in the object and then a configuration setting,"small,practical,light,fast,secure",no,50,27,40,258,65,329,64,3,836,,06/09/2021 17:06,1,0,8,8,0,0,1.31,17
161,,,base,interview,06/09/2021 16:52,,,1,1,1,1,1,5,6,5,6,6,2,5,2,6,2,,26,South Africa,612fc7df388a82347ab9fa25,61361b3f24903104f34b1853,61362b224bac940b39c7a43a,4,4,Its safer and more private.,5 seconds,15cm x 7cm (smart phone),1,1,1,2,1,1,,Indoor and outdoor authentication is needed to monitor the number of participants at a venue.,Easy access,Easy to handle and comfortable without hassle,For Safety and privacy,4,A safe location where authorised personel can access it,5,2,2,2,2,2,1,4,2,2,1,2,2,1,4,1,"My preference would be a tablet as its easy to handle, comfortable to use and private.",White,4,3,"Configuration, arrangement and assembly","Configuration - Using a specific pattern protected authentication device (Tablet)
Arrangement - Number code authentication like a padlock.
Assembly - Putting a code into a specific pattern for more secured access.","Safety
Privacy
authorised access
Easy access for authorised user
No bugs",No,6,100,60,530,125,894,117,6,1838,,06/09/2021 17:23,1,0,8,8,0,0,0.94,30
162,,,base,interview,06/09/2021 16:52,,,1,1,1,2,1,1,5,1,3,2,4,2,5,5,1,,19,Portugal,61320dbce39969ca34680e12,61361b3f24903104f34b1853,61362b0229acdda92c9bf056,4,4,Not definitely just because I'm not sure if is faster then the digital. ,5,10,1,1,1,2,1,1,,Everywhere would be great but especially indoors so no one sees it,I hate when things take long time,I think it should be just like a watch,A watch with this authentication would be great,4,Watch or pocket,4,2,2,2,1,2,1,4,2,2,2,1,2,1,4,1,I think it should be a normal clock (circle) with some complex forms around it (like pyramids),"Black, white and grey",4,4,"Assembly, Touch, Arrangement, Configuration","I think i would rotate 2 times right, then 3 times left, make an arrangement down then touching the pyramids.","Safe
Small
Discret
Fast
Cute",No,37,46,45,282,57,333,57,4,861,,06/09/2021 17:07,1,0,8,8,0,0,1.2,11
163,,,base,interview,06/09/2021 16:52,,,1,1,1,1,1,5,6,5,6,6,2,6,3,5,1,,30,Hungary,6135fb22e34699c5e5ce1e26,61361b3f24903104f34b1853,61362b2186662929b5476960,5,5,i think it is much safer to protect our data,10,45,1,1,1,2,1,1,,Indoors in our personal devices and outdoors in public things.,"I think it should not take so long, so 10 seconds would be good",I think it should not take longer than one minute.,I think it needs to be in a local of easy access and that is always with the people.,5,in my wallet,3,2,2,2,1,1,1,2,1,1,1,2,2,1,4,1,My authentication object would be a pyramid.,The pyramid would be half black and half yellow.,Only one.,Three.,"Touch, arrangement and configuration.","As I have chosen a pyramid, I would use the touch. And it would have combinations because of the two different collors. ","To be easy to carry with me.
Easy to use for an authentication.
Not expensive.
Have something inside (as a chip) that I could find it if I lost.
Possibility to buy 2 identicals (for having one with me if I lost)

","I liked this survey, it is really interesting the idea of authentication objects.",71,55,68,843,75,831,66,6,2015,,06/09/2021 17:26,1,0,8,8,0,0,0.73,0
164,,,base,interview,06/09/2021 16:53,,,1,1,1,1,1,,,,,,,,,,,,,,61240dec6083f3f89dade523,61361b3f24903104f34b1853,61362b47e5e177b227d5a3bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,55,,,,,,75,,06/09/2021 16:54,0,0,3,3,0,0,1.99,186
165,,,base,interview,06/09/2021 16:53,,,1,1,1,1,2,3,4,3,3,4,5,4,5,5,2,,34,united state of america,613310cbffa168178d65818b,61361b3f24903104f34b1853,61362b1e56f81cba3e32f9ca,4,5,it serev as a means of security .,5,50,1,1,1,2,1,1,,"it is because, there is condition based for the utilization of this device",its because the software programmed on it send signal so fast,it is because i think that the maximum size the screen can capture,for final confirmation of payment in a bus station,4,in bus stations,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,1,triangle,blue,5,2,"1) Touch
2) Configuration","once the touch interactions is being pressed, it sends signal to switch on the object or possibly turn the device on 
the configuration aspect is being done by rotating or shaking the device till it is perfectly alligned","positioning
allignment
fixing 
duarbility
strength",none,6,38,309,369,30,1605,41,6,1094,,06/09/2021 17:33,1,0,8,8,0,0,1.31,44
166,,,base,interview,06/09/2021 16:53,,,1,1,1,1,1,4,5,5,4,5,1,5,4,6,2,,29,South Africa,61333d65686e932492f5b569,61361b3f24903104f34b1853,61362b57d9f3a7c4d3691c33,4,2,You will walk with an extra device. ,< 5 seconds,"The shape of the traditional keyholders (+- 3cm diameter), ideally round or oval shape.",1,1,1,2,1,1,,I feel it has a functional place both in- & outdoors.,The faster the authentication the more likely I will use that aunthentication method in the future.,Easy to carry around. You don't want to carry around a bulky object.,Utilization of the device will be more active if its in close proximity of you.,5,"Keyholder, easier to carry around and you can acces the device quicker",3,1,2,2,1,2,1,2,2,1,1,2,1,1,4,1,"* Small and oval
* The size should not be too small e. g should be comfortable puuting your thumb print on the device
*Given the above it shouldn't look like a standard gym tagg.",Black/Dark blue/ Grey,3,3,"*Touch
*Arrangement
*Assembly","By touch to give my access, following arranging the object and assemble it afterwards.","Should be fast
Should be reliable
Easy to understand the user interface
Flexibility
Robust",No.,118,60,50,652,75,903,100,19,1963,,06/09/2021 17:26,1,0,8,8,0,0,0.62,0
167,,,base,interview,06/09/2021 16:53,,,1,1,1,1,2,5,6,4,5,6,2,5,2,6,2,,21,Portugal,613486b8a92cbf1cbcf25c79,61361b3f24903104f34b1853,61362ae953e168ceec7e3c50,5,5,It sounds like a pretty easy way of keeping my personal belongings safe,5 seconds,2 cm,1,1,1,2,1,1,,"It sounds useful indoors, as it can add more privacy, and also outdoors so no one steals my information, or the device","It must be quick, in order to compensate using it, when there are fingerprint scanners and face IDs",It needs to be really portable so it fits anywhere,"As those are some day-to-day objects, I wouldn't forget about the device",5,"The wallet, or as a keychain",3,2,2,2,1,1,1,5,2,2,2,2,2,1,4,1,"It should look like a coin, so it's comfortable to carry in my wallet, pocket, etc...","Black, so it doesn't draw attention","Almost all of them, except for augmentation",2,"Touch, arrengement","Being a coin, it can easily have the buttons of ""touch"" integrated onto both sides of it. And it can also have some sort of mechanism that rotates, on the side of the coin.","Safety, quickness, durability, feel, sound","Nothing to add, but really interested in that idea",12,27,13,276,56,528,82,4,998,,06/09/2021 17:10,1,0,8,8,0,0,1.67,36
168,,,base,interview,06/09/2021 16:53,,,1,1,1,1,2,4,6,5,5,4,4,3,4,5,1,,23,South Africa ,6131fbbe317f231eaa6d2975,61361b3f24903104f34b1853,61362b61b6d306613d7eb67b,5,5,I belive that Is the most secure way,10,5,1,1,1,2,1,1,,It can be used anywhere ,I never take more than ten seconds to login unless I inserted the incorrect details,For instance my phones finger print sensor is about that size,"For instance on the door handle, soon as you touch it it can identify yiu",5,In a car I would say that the doors could have a sensor,5,2,2,2,2,2,1,5,2,2,2,2,2,1,4,1,Round or circle/cylinder shape. ,"Start with most common /picked colors. Black, white, red blue.. ",Two of them ,One,The touch and configuration interactions. ,"Maybe use colors, for example, combination of preferred colors in a particular order to authenticate or rotate certain colors. ","Repeat interaction
Authenticate using a different authentication ",No,36,46,59,446,179,938,109,5,1707,,06/09/2021 17:24,1,0,8,8,0,0,0.77,0
169,,,base,interview,06/09/2021 16:53,,,1,,,,,,,,,,,,,,,,,,6133ba9a50d368581b0f82dc,61361b3f24903104f34b1853,61362b7b109280ce220b38ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,12,,,,,,,113,,06/09/2021 16:55,0,0,2,2,0,0,1.67,69
170,,,base,interview,06/09/2021 16:53,,,1,1,1,1,1,4,5,4,4,4,4,5,4,4,2,,32,united state of america,6130f1360850ec6f1ca1fbed,61361b3f24903104f34b1853,61362b7714beefa21dd9876f,4,4,password,5,1cm,1,1,1,2,1,1,,it should be used both indoors and outdoor,5 seconds to authenticate my login,the size of my authentication should be one centimeter,authentication object should be saved in my mail box when used in public,4,Email box,3,2,1,1,2,2,1,3,2,1,1,2,2,1,4,1,cone,green,1,1,touch,puting 4 red circles on a cone and touch 2 of those circles with a smartphone,"login, validation, sign in, payment and download",no,37,9,77,382,94,525,85,12,1221,,06/09/2021 17:14,1,0,8,8,0,0,1.07,26
171,,,base,interview,06/09/2021 16:53,,,1,1,1,1,2,3,3,4,2,3,5,2,5,2,2,,19,Poland,613483dc43dea21341c0a7d1,61361b3f24903104f34b1853,61362b1840ecd73ac32c8769,5,4,"I don't want to use authentication object as my main form of authentication, because it's a new sefeguard and I it can steal more time than others, but I am well disposed to this.",30,"It should be very small, like a smartwatch or something like that ",1,1,1,2,1,1,,If it were easy to use I would use it everywhere,I can dedicate this time to login. If it is longer I am disgusted.,Bigger thing will be impractical.,The easiest way to be stored.,5,In the bag or in pocket.,3,2,1,1,2,2,1,2,1,2,2,1,1,1,4,1,Wrist strap,Black and dark blue,2,2,"Touch, configuration","Touch wirst strip on good points, and configuration small shapes of which it is composed","1 Easy to use
2 Cheap
3 Design
4 Durable
5 Slightly",No,94,75,103,944,152,711,156,3,2150,,06/09/2021 17:31,1,0,8,8,0,0,0.64,4
172,,,base,interview,06/09/2021 16:53,,,1,2,1,1,2,5,5,3,4,4,2,4,2,4,2,,27,The Netherlands,5b1195106dc63000013eb638,61361b3f24903104f34b1853,61362b7c12e648c623911315,4,3,It still comes with risk. How do you recover acces when you lose the authenticator?,60 seconds,Not much bigger than a small blackberry curve,2,2,2,1,1,1,,It could be useful to gain acces to your personal car or personal belongings in house.,You want it to be convenient while offering maximum security compared to the time it takes.,Once again convencience. You want to be able to carry it with you at all times without being annoying to have with you.,I'd like to have it in a secure spot where i have control over it at all times. Without risking it being stolen.,4,In my jacket most likely.,3,1,1,2,2,2,1,2,2,2,1,1,1,1,4,1,I would like for it to be not much bigger than a TicTac box. Simple and small.,black,2,2,Touch and arrangement,I'd like for a way of authenticating which requires a certain pattern of moving or pressing on to the object. My idea was for a TicTac sized boxes which has spots on which you can press to work as a code. Depending on the order of your presses you'll either unlock it or not.,"Safety, Complexity levels, Convencience, Design, Security",Looking forward to the results of this study. ,112,172,169,420,128,528,56,3,1335,,06/09/2021 17:20,1,0,8,8,0,0,0.78,6
173,,,base,interview,06/09/2021 16:53,,,1,1,1,1,1,5,2,1,6,5,1,5,2,5,1,,26,South Africa,61319e5ca7f666d0467dc829,61361b3f24903104f34b1853,61362b77dea27b02b5868b2e,5,5,I want to keep my data private all the time.,30 seconds,10cm,1,1,1,2,1,1,,Because it should be easy to do it in any environment.,I dont want it to be a long process,I dont want it to be too big to handle or too visible,"It needs to be portable and does not attract attention, shouldnt be too visible",5,I want it to be stored in small bag,5,2,2,2,2,2,1,3,2,1,1,2,2,1,4,1,"I would like it to be oval, not too big, could fit in my hand.",Black with a touch of pink,one,One,touch,I will use my fingerprints to squeze it.,"1. Identity
2.Touch
3.Position
4.Fingerprints
5.Password",authentication objects requirements differs and theres a lot I still need to learn about this,27,36,104,284,76,688,60,9,1284,,06/09/2021 17:15,1,0,8,8,0,0,0.97,7
174,,,base,interview,06/09/2021 16:54,,,1,1,1,1,1,3,4,5,4,5,5,5,5,5,1,,22,Portugal,6135fb1920580f9245b13e85,61361b3f24903104f34b1853,61362b8b47fd9a07ed7c55c4,5,4,"From my perspective, authentication objects are very safe",120 seconds,the size of a computer,1,1,1,2,1,1,,indoors in computers and outdoors in cell phones,in my opinion the process has to be fast so it doesn't get boring,I think the biggest object where I would use authentication will be the computer,usually I take my computer to the university,5,faculty,3,2,2,2,1,1,1,3,2,1,1,2,2,1,4,1,the shape of my ideal 3D authentication object will be a rectangle or a square.,and it will be black.,3,3,"touch, arrangement and assembly","for instance, for touch, we could have a specific area of the rectangle, to touch","1. Safety
2. Workable
3. Not to expensive
4. Small
5. not to visible
",no,10,77,38,421,61,562,65,3,1237,,06/09/2021 17:14,1,0,8,8,0,0,1.31,21
175,,,base,interview,06/09/2021 16:54,,,1,1,1,1,1,6,4,2,4,4,4,4,4,3,1,,25,South Africa,611e37baca6e527842641fbb,61361b3f24903104f34b1853,61362b81d39bc6d8b9ca5c76,3,2,It will take too much time,Maybe 30 seconds ,3cm,1,1,1,2,1,1,,For when you are on the road abd when you're home,Because you will have to go through the process of capturing the object first,To be easily accessible ,For easily access ,4,Behind the phone ,3,2,1,1,2,2,1,4,2,2,1,2,2,1,4,1,Circle ,Gold,3,3,"Touching
Typing
Voice ",Yes,"Finger print
Password
Pin",No,34,26,52,275,80,383,183,3,921,,06/09/2021 17:11,1,0,8,8,0,0,1.17,15
